№ п/п,Марка,Модель,Объем двиг.,Год выпуска,Стоимость В ЕВРО
5,ASTON MARTIN,DB11,4000,2026,80209.0
6,ASTON MARTIN,DB11,4000,2025,65209.0
7,ASTON MARTIN,DB11,4000,2024,63000.0
8,ASTON MARTIN,DBS COUPE,5200,2026,126500.0
9,ASTON MARTIN,DBS COUPE,5200,2025,120750.0
10,ASTON MARTIN,DBS COUPE,5200,2024,110000.0
11,ASTON MARTIN,DBX,4000,2026,109250.0
12,ASTON MARTIN,DBX,4000,2025,84375.0
13,ASTON MARTIN,DBX,4000,2024,80000.0
14,ASTON MARTIN,VANTAGE,4000,2026,68750.0
15,ASTON MARTIN,VANTAGE,4000,2025,55000.0
16,ASTON MARTIN,VANTAGE,4000,2024,50000.0
17,AUDI,Q8,3000,2026,35000.0
18,AUDI,Q8,3000,2025,34000.0
19,AUDI,Q8,3000,2024,32000.0
20,AUDI,RSQ7,4000,2026,40000.0
21,AUDI,RSQ7,4000,2025,35000.0
22,AUDI,RSQ8,4000,2026,40000.0
23,AUDI,RSQ8,4000,2025,35000.0
24,AUDI,RS8,4000,2026,42000.0
25,AUDI,RS8,4000,2025,40000.0
26,AUDI,RS8,4000,2024,38000.0
27,AUDI,RS6,4000,2026,39800.0
28,AUDI,RS6,4000,2025,34000.0
29,AUDI,RS6,4000,2024,32000.0
30,AUDI,RS7,4000,2026,42000.0
31,AUDI,RS7,4000,2025,37000.0
32,AUDI,RS7,4000,2024,35000.0
33,AUDI,Q6,2000,2026,23000.0
34,AUDI,Q6,2000,2025,22000.0
35,AUDI,Q6,2000,2024,21000.0
36,AUDI,Q7,2000,2026,23000.0
37,AUDI,Q7,2000,2025,22000.0
38,AUDI,Q7,2000,2024,21000.0
39,AUDI,Q7,3000,2026,35000.0
40,AUDI,Q7,3000,2025,34000.0
41,AUDI,Q7,3000,2024,32000.0
42,AUDI,SQ7,4000,2026,40000.0
43,AUDI,SQ7,4000,2025,35000.0
44,AUDI,SQ8,4000,2026,40000.0
45,AUDI,SQ8,4000,2025,35000.0
46,BENTLEY,BENTAYGA,4000,2026,77625.0
47,BENTLEY,BENTAYGA,4000,2025,64400.0
48,BENTLEY,BENTAYGA,4000,2024,62000.0
49,BENTLEY,CONTINENTAL GT,4000,2026,84400.0
50,BENTLEY,CONTINENTAL GT,4000,2025,82400.0
51,BENTLEY,CONTINENTAL GT,4000,2024,80400.0
52,BENTLEY,CONTINENTAL GT,6000,2026,84400.0
53,BENTLEY,CONTINENTAL GT,6000,2025,82400.0
54,BENTLEY,CONTINENTAL GT,6000,2024,80400.0
55,BENTLEY,FLYING SPUR,6000,2026,84400.0
56,BENTLEY,FLYING SPUR,6000,2025,82400.0
57,BENTLEY,FLYING SPUR,6000,2024,80400.0
58,BENTLEY,FLYING SPUR 20MY,6000,2026,84400.0
59,BENTLEY,FLYING SPUR 20MY,6000,2025,82400.0
60,BENTLEY,FLYING SPUR 20MY,6000,2024,80400.0
61,BMW,2-series,3000,2026,26400.0
62,BMW,2-series,3000,2025,25300.0
63,BMW,2-series,3000,2024,23300.0
64,BMW,3-series,2000,2026,16700.0
65,BMW,3-series,2000,2025,16600.0
66,BMW,3-series,2000,2024,16000.0
67,BMW,3-series M,3000,2026,30000.0
68,BMW,3-series M,3000,2025,28000.0
69,BMW,3-series M,3000,2024,26000.0
70,BMW,4-series,2000,2026,23000.0
71,BMW,4-series,2000,2025,22000.0
72,BMW,4-series,2000,2024,21000.0
73,BMW,4-series M,3000,2026,33000.0
74,BMW,4-series M,3000,2025,30000.0
75,BMW,4-series M,3000,2024,28000.0
